商路ID,商路名称,类型,起点城池,终点城池,中间节点,距离(里),行程天数,主要特产流向,风险等级,风险说明,流寇概率,军队拦截概率,天气风险概率,建议护卫数
TR_01,秦楚商路,陆路,咸阳,郢都,宛城|武关,800,12,秦马/铁器→楚 | 楚铜/漆器→秦,中,山路崎岖+楚境流寇,0.20,0.10,0.05,15
TR_02,中原东西商路,陆路,大梁,洛阳,新郑,300,5,魏粮/布→周韩 | 韩铁器→魏,高,中原战区核心，多国军队活动,0.25,0.40,0.10,25
TR_03,中原南北商路,陆路,邯郸,大梁,朝歌,350,6,赵马/皮革→魏 | 魏粮/布→赵,高,多国边境交错,0.20,0.35,0.10,20
TR_04,齐赵商路,陆路,临淄,邯郸,高唐|聊城,500,8,齐盐/丝绸→赵 | 赵马→齐,中,有固定流寇聚集点,0.30,0.10,0.05,20
TR_05,燕赵商路,陆路,蓟城,邯郸,代郡|中山,600,10,燕马/皮毛→赵 | 赵铁器→燕,中,中山故地流寇多,0.25,0.15,0.10,15
TR_06,秦蜀商路,陆路,咸阳,成都,汉中|剑阁,700,14,秦铁器→蜀 | 蜀药材/粮食→秦,高,栈道险峻+巴蜀山匪,0.30,0.05,0.15,20
TR_07,韩魏商路,陆路,新郑,大梁,无,200,3,韩铁器/弓弩→魏 | 魏粮/盐→韩,中,距离短但两国边境摩擦频繁,0.15,0.25,0.05,10
TR_08,楚齐陆路,陆路,郢都,临淄,寿春|彭城,900,15,楚稻米/漆器→齐 | 齐盐/丝绸→楚,中,长途，途经多个小势力,0.20,0.15,0.10,25
TR_09,赵秦商路,陆路,邯郸,咸阳,晋阳|河西,700,12,赵马→秦 | 秦玉器/铁器→赵,高,秦赵世仇，边境紧张,0.15,0.50,0.10,30
TR_10,魏楚商路,陆路,大梁,宛城,许|叶县,400,7,魏布帛→楚 | 楚铜/铁→魏,低,相对和平区域,0.10,0.10,0.05,10
TR_11,燕齐商路,陆路,蓟城,临淄,无棣|济水,450,8,燕皮毛/人参→齐 | 齐盐/丝绸→燕,低,稳定通商路线,0.10,0.05,0.08,10
TR_12,周室朝贡路,陆路,洛阳,咸阳,函谷关,300,6,周礼器→秦 | 秦铁器→周,低,官道安全,0.05,0.05,0.05,0

# === 海上商路 ===
TR_S01,齐楚海路,海路,临淄,会稽,琅琊|海州,600,8,齐盐/丝绸→南 | 楚珍珠/漆器→北,中,近海海盗,0.25,0.05,0.20,20
TR_S02,渤海商路,海路,蓟城,临淄,无,400,5,燕皮毛/人参→齐 | 齐盐→燕,低,渤海内海,0.10,0.05,0.15,10
TR_S03,吴越海路,海路,会稽,琅琊,无,500,7,楚珍珠/漆器→北 | 齐盐→南,中,海盗+暗礁,0.20,0.05,0.25,15
TR_S04,齐燕远海路,海路,临淄,辽西,无,700,10,齐盐/丝绸→燕 | 燕马/皮毛→齐,高,远海+辽东海盗,0.30,0.05,0.30,25
TR_S05,楚越沿海路,海路,会稽,南海,闽中,800,14,楚漆器/铜→南海 | 南海珍珠/香料→楚,高,远海+百越海盗+台风,0.35,0.05,0.35,30

# === 河道商路 ===
TR_R01,黄河上游商路,河道,咸阳,大梁,河东|洛阳,500,7,秦→中原,低,黄河干流,0.05,0.10,0.10,5
TR_R02,黄河下游商路,河道,大梁,临淄,无,500,6,中原→齐,低,黄河干流,0.05,0.05,0.10,5
TR_R03,长江商路,河道,郢都,会稽,江陵|柴桑,600,8,楚西→楚东,低,长江干流,0.10,0.05,0.15,10
TR_R04,汉水商路,河道,宛城,郢都,襄阳,400,5,秦楚贸易中转,低,汉水支流,0.05,0.05,0.10,5
TR_R05,淮河商路,河道,寿春,淮阴,钟离,300,4,楚→齐中转,低,淮河干流,0.08,0.10,0.10,5
TR_R06,渭水商路,河道,咸阳,函谷关,无,250,3,关中内部,低,渭水干流,0.02,0.05,0.05,0
